TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
81,42,1,2,MBox42285135-HH,B1,Uriah Heep - Southern Star,266,,Into the Wild,11,English
82,5576,4,1,WoM14351539,006,"June Is Bustin' Out All Over (For Hi-Fi Living, Volume 5: Love on Broadway)",02:40,Hill Bowen & His Orchestra,"For Hi-Fi Living, Volume 5: Love on Broadway",1957,
83,43,1,2,MBox1321164-HH,8,Guns N’ Roses - Estranged,681,,Revolution Calling,91,English
84,9369,4,4,97860-A037,1,001-Berimbou,2m 23sec,Astrud Gilberto,Look to the Rainbow (2008),null, Eng.
85,5503,3,2,MBox15108016-HH,22,Игорь Фёдорович Стравинский - Firebird: Finale (Philharmonia Orchestra feat. conductor: Esa-Pekka Salonen),188,,Ballet- Hits,95,English
86,44,1,3,59278315MB-01,13,"I Don't Want to Set the World on Fire - The Gals of the Big ""D"" Jamboree",2.642,Lovett Sisters,,'01,English
87,8013,2,3,1544268MB-01,4,Got to Hurry (take 4) - The Yardbirds Story,2.609,Yardbirds,,'02,English
88,45,1,4,18751-A065,5,005-Al verte las flores lloran,2m 42sec,Camaron de la Isla,Una leyenda flamenca (1992),null,Spa.
89,5552,2,4,122115-A032,6,006-My Pretty Pecker,unknown,Dr. Dre Del,Dr Dre Del's Mic of Defiance (1999),null,Eng.
90,4384,2,1,WoM1739924,013,The Handiest Frenchman in the Caribbean (Don't Stop the Carnival),00:50,Jimmy Buffett,Don't Stop the Carnival,1998,
91,46,1,4,21846-A018,6,006-Murder & Mayhem,6m 26sec,Noelle Hampton,Under  These Skies (unknown),null,E.
92,65,2,1,WoM26714621,011,Apache (instrumental) (On Stage / In Studio),03:02,On Stage / In Studio,On Stage / In Studio,2012,
93,1168,2,4,34732-A08,5,005-Put Me Back Together,2m 57sec,Drive Like You Stole It,Frequency (unknown),null,Eng.
94,47,1,3,3692161MB-01,8,Mindsweeping - Cinematograph,0.85,Scrooge,,'97,[Multiple languages]
95,48,1,4,33945-A032,11,011-Easter Processions: Hymne,2m 41sec,[religious music],The Inspiration f Gregorian Chant (1995),null,Lat.
96,49,1,5,1915738,4,Red Chips,330946,,The Working Model (Reverse),2003,English
97,5803,4,2,MBox16486728-HH,11,Carbona -  1001 Doses (Até Você Voltar),151,,Taito Não Engole Fichas,03,Portuguese
98,50,1,3,49491218MB-01,10,Mi apuesta - Es,4.283,Eruca Sativa,,'10,Spanish
99,5404,3,2,MBox2400-HH,4,Dimitri From Paris - Nothing to Lose,297,,Sacrebleu,98,French
100,905,5,1,WoM7714747,002,The Power of Love (Rob Searle club mix),08:40,Frankie Goes to Hollywood,The Power of Love,1990,
101,51,1,2,MBox1789432-HH,3,Tropical Dudes - Busybodies,227,,Tropical Monsters,08,English
102,52,1,4,,5,005-Piranhes,5m 12sec,Rattler,Demo 2012 (unknown),null,Eng.
103,8680,2,2,MBox4260829-HH,6,Uroš Rakovec Trio - Tako lepo bo,169,,Poganjki,09,null
104,7769,2,1,WoM13152416,003,War (Art of War),03:57,AG & Party Arty,Art of War War,2002,
105,444,2,3,17499613MB-01,3,Little for a Lot - Four Winds the Walker,4.359,Spires That in the Sunset Rise,,'05,English
106,5733,2,3,69351622MB-01,4,The Solid Rock - World's Greatest Praise & Worship,3.1,Edward Mote & William B. Bradbury,,,English
107,53,1,4,79094-A031,3,003-Jayne,3m 37sec,Stereophonics,The Sunday Times: The State of Independence - V2 (2007),null,Eng.
108,8684,4,5,14310775,A3,La Fessée,267693,Georges Brassens,Volume 9 : Supplique pour être enterré à la plage de Sète,1967,French
109,54,1,3,5332310MB-01,2,Why Not - The Lizzi eMcGuire Movie,2.981,Hilary Duff,,' 03,English
110,55,1,4,17735-A045,1,001-Nation of Sorrow,unknown,Battle Zone,Arson Around With Matches (unknown),null,Eng.
111,56,1,5,15463786,2,Ronin on Air,181000,Younnat,Radiovision,,English
112,3341,2,1,WoM16870626,010,I'm Like a Lawyer With the Way I'm Always Trying to Get You Off (Me + You) (Now That's What I Call Music 26),03:35,FallOutBoy,Now That's What I Call Music 26,2008,
113,57,1,4,162002-A027,22,022-Over There Story,unknown,Kruger Brothers,Carolina Scrapbook (1999),null,
114,4987,3,4,140342-A048,7,007-When Love Comes to Town,unknown,U2 & B.B. King,"1987-11-24: Tarrant County Convention Center, Fort Worth, TX, USA (unknown)",null,Enkg.
115,404,2,2,MBox30367420-HH,4,Пётр Ильич Чайковский - Pas d'action,623,,Dornröschen / Der Zauberladen,,null
116,2978,4,1,WoM10438549,009,"Acting (2005-04-02: The Spanish Moon, Baton Rouge, LA, USA)",04:25,Macrosick,"2005-04-02: The Spanish Moon, Baton Rouge, LA, USA",,
117,58,1,2,MBox30010412-HH,1,Molly Half Head - Vivid Whitsun,276,,Sulk,93,English
118,59,1,5,7972929,5,Nefes (live in Bodrum),420000,Telvin,Telvin,2006,Turkish
119,60,1,3,35448912MB-01,53,慈愛の言葉集/日常会話篇 - 「ハヤテのごとく!」 キャラクターCD 2,0.104,マリア starring 田中理恵,,'07,Japanese
120,61,1,4,95960-A037,1,001-Stronger Woman,4m 2sec,Jewel,Perfectly Clear (2008),null,Eng.
121,223,4,4,179846-A029,6,006-Turning,3m 21sec,Glass America,Fathom (unknown),null,Eng.
122,1096,2,2,MBox2675712-HH,6,Sacred Spirit - Yane-Heja-Hee,290,,More Chants and Dances of the Native Americans,00,English
123,62,1,1,WoM23202345,004,ホームワーク (オリジナル・カラオケ) (ANNIVERSARY〜無限にCALLING YOU),00:00,松任谷由実,ANNIVERSARY〜無限にCALLING YOU,1989,
124,9645,3,3,3625213MB-01,12,Butta-Few-Co - This Is My First Album,4.033,Kwest Tha Madd Lad,,'96,English
125,63,1,2,MBox30125917-HH,4,aMnassas - Johnny's Garden,167,,Carry On,98,English
126,64,1,2,MBox700286-HH,9,Symphony X - Of Sins and Shadows,null,,"2003-04-17: Langen, Germany",,English
127,65,1,5,13357305,11,Apache (instrumental),182840,Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages]
128,7847,3,1,WoM15108710,010,Basin Street Blues (The Quintessence: New York – Chicago 1925-1940),03:19,Louis Armstrong,The Quintessence: New York – Chicago 1925-1940,1994,
129,458,2,1,WoM3113 6821,001,Semblance (Portrait in Sound),03:21,Klaus Suonsaari,Portrait in Sound,,
130,6997,2,2,MBox22825935-HH,19,Lester Flatt & Earl Scruggs - I'm Going to Make Heaven My Home,159,,Bluegrass Bonanza,01,English
131,66,1,4,27291-A054,11,011-Non ti dimentichero,4m 59sec,Gianni Morandi,Come fa bene l'amore (2000),null,Ita.
132,2744,2,1,WoM7764848,003,Evolution Fight (Creating Your New Environment),03:19,CYNE,Creating Your New Environment,2005,
133,67,1,5,14142848,10,***,212000,Wind Hearse,Witch's Arrows,,English
134,5839,3,4,197258-A00,6,006-The Jailer,2m 49sec,Erin McKeown,Paste mPlayer #77 (2013),null,Eng.
135,5594,2,1,WoM6829616,012,A csend (A hold szerelme),02:56,Tátrai Band,A hold szerelme,1995,
136,1349,3,5,5271441,7,STP,187986,Sublime,Everything Under the Sun,2006,English
137,68,1,4,151449-A063,1,001-Sunlight,3m 40sec,The One AM Radio,Heaven Is Attached by a Slender Thhread (2011),null,Eng.
138,9270,2,4,101777-A055,5,005-Where the Wild Things Are,2m 42sec,Chenard Walcker,Middle (2004),null,Eng.
139,1215,2,3,58046619MB-01,6,Gitme Durnam - Gurbeti Ben mi Yarattım,4.167,Arif Sağ,,'98,Turkish
140,69,1,3,53398811MB-01,1,Disorsder - Unknown Pleasures,3.539,Joy Division,,'88,English
141,70,1,2,MBox19984532-HH,5,Bagad Roñsed-Mor - Gavoten Ar Vro Boulet,239,,Mega Celtique,06,English
142,71,1,5,4317235,6,Broken,263543,Amber Claire,Love and Such,2004,English
143,9662,5,4,138474-A011,6,"006-La Pellegrina, Intermedio No. 1 ""L'Armonia delle sfere"": VI. Coppia gentil",4m 31sec,Cristofano Malvezzi,"La Pellegrina: Music for the Wedding of Ferdinando de' Medici and Christine de Lorraine, Princess of France, Florence 1589 (Huelgas Ensemble feat. conductor: Paul Van Nevel) (1997)",null,Ita.
144,72,1,2,MBox1062975-HH,4,Coffin Nails - Daytime TV,175,,Out for the Weekend,01,English
145,4877,2,3,1972112MB-01,2,Central Booking - Febuary,3.083,Bishop Allen,,'06,English
146,73,1,1,WoM24861447,008,Liquor Store Blues (Doo-Wops & Hooligans),03:49,Bruno Mars feat. Damian Marley,Doo-Wops & Hooligans,2011,
147,2258,3,4,209915-A026,12,012-Nyt jatan vanhan Turun,3m 2sec,Tapio Heinonen,Paivat kuin unta (2008),null,Fin.
148,333,2,1,WoM224899,007,Confession (Always Around),04:11,Jack Radics,Always Around,,
149,74,1,2,MBox28273911-HH,6,Ser Un Peyjalero - Peyjalero,148,,U,93,nEglish
150,935,3,2,MBox16978628-HH,16,岩崎文紀 - 深海の精,107,,あまえないでよっ!! さんとら冬盤,06,Japanese
151,5575,2,2,MBox23020924-HH,12,The Pair Extraonrdinaire - I'm a Believer,null,,It's a Wonderful World,67,English
152,5060,3,4,195496-A040,13,013-Foe Life,4m 14sec,Mak 10,Snoop Dogg Presents: The West Coast Blueprint (2010),null,Eng.
153,75,1,2,MBox17716433-HH,14,André HazesR - Ik ben een gokker,190,,De Hazes 100: Van de fans - Voor de fans,06,Dutch
154,406,3,2,MBox14046530-HH,9,Herb Alpert - Silent Tears And Roses,231,,Midnight Sun,92,English
155,76,1,1,WoM15831542,9,Skit (Spürma (Puuhamaa skit)) (Runoja kontrollihuoneesta),00:32,Steen1,Runoja kontrollihuoneesta,2009,
156,77,1,5,9107971,11,Bloque Metafísico: La proporción y las distancias,158000,Macromassa,Los hechos Pérez,1993,Spanish
157,78,1,5,4404827,n.a.,Chut,118373,Frederica von Stade,Canteloube : Chants d'Auvergne,,French
158,79,1,5,5542698,3,Oilean Draiochta,262000,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,1998,English
159,7682,2,5,110758,2,Explanation,151000,Abstract Tribe Unique,Thynk Taynk -- Ocean Floor,,English
160,4093,3,2,MBox10960718-HH,2,Full Force - Let's Dance Against the Wall,221,,Ahead of Their Time! Full Force's Greatest HXits,01,English
161,80,1,3,14157622MB-01,6,Haste Suraj Ki - Dil Ka Rishta,1.535,Nadeem-Shravan,,'05,Hindi
162,9,3,1,WoM25922844,002,Particle/Wave (Evolver),06:21,Lunchbox,Evolver,2002,
163,81,1,1,WoM436798,006,You (Russian Doll),04:59,Violet Indiana,Russian Doll,2004,
164,6936,2,2,MBox21218323-HH,11,Loona - Rhythm of the Night,223,,RTL Party Hits 2003,03,English
165,4811,3,2,MBox2807262-HH,5,Deja-Move - Ways to Go,355,,Collect the Cuts 2,11,English
166,82,1,2,MBox4386531-HH,2,Jacques Brel - Marieke,179,,"Intégrale Grand Jacques, Volume 10 : Ne me quitte pas",88,French
167,8591,2,5,6537288,8,VS. X-C alibur,73000,The DJ's Project,Bring It Back,2005,English
168,83,1,5,6253186,8,Van mij kan je de pot op,150000,Lowland Trio,Hollands Glorie: Lowland Trio,2002,Ducth
169,4085,2,2,MBox1138718-HH,12,"Reboelje - It famke, de hûn en de houtkapper",342,,Hotel Reboelje,98,"Frisian, Western"
170,84,1,1,WoM14513028,006,Megna's (Chameleon),03:52,Tim O’Brien,Chameleon,2008,
171,7453,2,5,3155025,6,Price of Time,,Domain,One Million Lightyears From Home,2001,English
172,85,1,4,175091-A050,11,011-You're the Only Good Thing (That's Happened to Me),unknown,Jim Reeves,40 Golden Greats (1975),null,Eng.
173,86,1,5,5168508,3,According to Me,,Mind the Gap,Make,2005,[Multiple languages]
174,8956,2,3,377030MB-01,5,Won't Be Long - The Best of Tracy Nelson & Mother Earth,3.554,Tracy Nelson,,,English
175,87,1,4,204564-A066,6,006-Nightline,3m 44sec,Randy Crawford,The Love Songs (unknown),null,unknown
176,88,1,3,4817247MB-01,6,Hymn 48 (Jesus Is King) - Cherokee Sunday Morning,1.217,Cherokee National Youth Choir,,'05,English
177,5278,5,3,38312514MB-01,6,Perdimos algo - Canciones inéditas,,Cecilia,,'92,Spanish
178,1607,4,2,MBox12932410-HH,8,BUCK-TICK - LOVE ME,313,,殺シノ調ベ This is NOT Greatest Hits,07,Japanees
179,89,1,5,15919255,39,Sunday on My Mind (original mix),430897,Daniel Stefanik,Berlinn Afterhour 3 - From Minimal to Techno - From Electro to House,,English
180,673,2,2,MBox34742433-HH,10,Plump DJs - Acid Hustle,189,,Finger Lickin' Thang 4,06,English
181,90,1,5,10987166,10,Eight Pieces for Flute Alone -- Rezitativ,84000,unk.,Mark Sparks flute with Clinton Adams piano,,
182,5955,4,4,155425-A00,11,011- ,unknown,,     (2008),null,Gre.
183,3379,3,1,WoM26546323,001,Voodoo Lovers (Hurricäde),01:51,Hurricäde,Hurricäde,2008,
184,91,1,1,WoM16706148,003,We Are the Prisoners (Anthology),01:44,Kids,Anthology,2007,
185,6185,2,4,216787-A020,26,026-Control,2m 37sec,Disclosure feat. Ria Ritchie,FabricLive 71: DJ EZ (2013),null,Eng.
186,2544,3,5,13673543,7,Concerto in G: I. Allegro ma non troppo,311000,Antonio Piacentino BRomano,Italian Flute Concertos,1993,English
187,92,1,2,MBox7671934-HH,3,Caedmon's Call - There's Only One (Holy One),222,,Share the Well,04,English
188,93,1,5,10034738,2,Endless Winter,443440,Marconi Union,A Lost Connection,2010,English
189,6045,2,4,230395-A047,1,001-One Day (Live),4m 7sec,Caro Emerald,Live (unknown),null,unnknown
190,94,1,5,3729210,3,Too Far Gone,242000,The All‐American Rejects,"Same Girl, New Songs",,English
191,95,1,3,56902011MB-01,4,"Slow, Loud and Bangin' (S.L.A.B.ed) - Slow, Loud and Bangin', Volume 4",5.617,"Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T",,'04,English
192,96,1,5,8435806,unk.,Junior Crehan's / Junior Crejan's (flings),179000,The Mulcahy Family,The Mulcahy Family,2000,English
193,1728,2,1,WoM21893732,002,Watermusic Suite: Adagio e staccato (Watermusic Suite / Music of the Royal Fireworks),02:25,George Frideric Handel,Watermusic Suite / Music of the Royal Fireworks,,
194,97,1,5,11419588,3,We  All Need Some Light,402000,Transatlantic,Live in Europe,2003,English
195,8958,2,2,MBox13476412-HH,4,Heli Deinboek -O berwart (Birmingham),181,,Relativ Positiv,97,German
196,1764,2,1,WoM4706821,001,Nattestid ser porten vid 1 (Nattestid…),05:56,Taaake,Nattestid…,2007,
197,98,1,2,MBox37422715-HH,6,Xalm Retribution - Illusion of Love,313,,Illusion of Love,10,English
198,99,1,3,3483495MB-01,8,Closing - Urban Mantra,3.75,Wah!,,'02,English
199,100,1,3,21514MB-01,1,Astronomy Domine - The Piper at the Gates of Dawn,4.202,Pink Floyd,,'87,English
200,101,1,4,189130-A010,4,F004-Jouluohtu motisklus,unknown,Kadri Savva,Voluaeg (2011),null,Est.
201,6718,2,1,WoM25542945,012,Ritardo mestruale (...Se non avrei fatto il cantande),03:08,Checco Zalone,...Se non avrei fatto il cantande,,
202,3925,2,5,7335137,4,Родина,291680,"Ольга Арефьева и группа ""Ковчег""",А и Б,2006,Russian
203,102,1,1,WoM24455022,001,"Symphonie Nr. 10 G-dur, KV 74: I. Allegro (Frühe Symphonien)",03:05,Wolfgang Amadeus Mozart,Frühe Symphonien,1991,
204,103,1,3,56031113MB-01,11,Je me rappelle d’une époque - Suicide commercial,5.583,Vrai Ben feat. Yahlane,,'09,French
205,8719,2,5,8736166,34,Adhan Calling,30000,Giles Perring & Edwards,Middle East Beats,,English
206,8499,5,5,3216506,2,Las batallas,138760,Café Tacvba,Un viaje,2005,Spanish
207,9018,2,4,200652-A011,7,007-Someone So Young,6m 38sec,Coke Weed,,null,Eng.
208,104,1,1,WoM3102839,010,"Rusalka, op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances)",06:20,Antonín Dvořák,"100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances",2004,
209,9275,4,1,WoM2327176,018,Amanhã Vazio (Nosso Amor Já Era),00:00,Hugo Pena & Gabriel,Nosso Amor Já Era,2011,
210,105,1,4,191714-A018,16,016-Red-naped Sapsucker / Red-breasted Sapsucker,0m 58sec,Donald & Lillian Stokes with Kevin Colver,The Stokes Field Guide to Bird Songs: Western Region (unknown),null,unknown
211,106,1,2,MBox4393686-HH,5,Satellites & Sirens - Magnetic,202,,One Nosie,14,English
212,107,1,2,MBox684614-HH,14,Black Tape for a Blue Girl - We Watched Our Sad-Eyed Angel Fall,329,,With a Million Tear-Stained Memories,03,English
213,1246,3,5,4048708,7,Stark,256026,VLE,Book of Illusions: Chapter I & II,2001,Eng lish
214,108,1,4,212822-A033,7,007-When You're Smiling at Me,4m 28sec,Sly Blue,Edge of the World (2012),null,Eng.
215,109,1,5,8123933,2,Echo Elephant,286000,Luna Negra,Soundproof Demo,2009,English
216,1659,3,4,196510-A07,3,"003SonataforpianoNo.1inFminor,Op2No.1:III.Menuetto:Allegretto",2m 17sec,Ludwig van Beethoven,The Early Sonatas (1996),null,Eng.
217,5439,2,3,20698611MB-01,6,Count Every Star - Jazz Chillout,6.283,Grant Green,,'02,English
218,110,1,5,12332119,6,Stars Are Blind (The Scumfrog's extreme makeover),null,Paris Hilton,Stars Are Blind,2006,English
219,111,1,3,52597021MB-01,5,When the Summer Is Gone - I Can Jive - Det Bästa Med Jerry Williams,4.25,Jerry Williams,,'07,Eglish
220,112,1,4,228882-A057,12,012-Always on Time,4m 5sec,Ja Rule feat. Ashanti,Hip Hop - The Collection: The Classics (unknown),null,Eng.
